age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
39,4,33487,1,2,12,0,4,1,0,0,40,33,0
58,4,201393,13,0,1,1,4,1,0,1876,40,33,0
40,1,163215,15,4,2,1,4,0,0,0,40,0,0
45,4,219632,3,2,6,0,4,1,0,0,40,33,0
30,4,254905,3,2,12,0,4,1,0,0,40,33,0
42,4,171615,3,2,9,0,4,1,0,0,55,33,1
31,7,195181,4,2,2,0,4,1,0,0,35,33,1
34,6,195891,15,2,4,0,4,1,0,0,50,0,1
26,4,483822,11,4,11,4,4,1,0,0,40,5,0
71,5,172652,15,2,2,0,4,1,0,0,30,33,0
30,4,180656,7,3,8,1,4,1,0,0,40,0,0
31,4,173495,3,4,13,3,4,1,0,0,35,33,0
39,6,187693,3,2,8,0,4,1,0,0,72,33,1
27,6,70657,7,4,8,1,4,1,0,0,35,33,0
46,4,129007,15,2,4,0,4,1,0,1977,40,33,1
28,4,101774,7,2,9,0,4,1,0,1848,50,33,1
60,7,129447,3,6,1,1,4,0,0,0,35,33,0
56,2,183169,4,6,2,1,4,0,0,0,40,33,0
32,4,198068,1,4,6,3,4,1,0,0,40,33,0
21,0,77665,7,4,0,3,4,1,0,0,35,33,0
52,4,117674,7,2,9,0,4,1,0,0,40,33,1
30,4,426017,1,4,13,3,4,0,0,0,19,33,0
22,4,209034,7,4,13,1,4,0,0,0,35,33,0
34,4,314646,12,2,8,0,4,1,0,0,40,33,0
67,6,45814,11,2,10,0,4,1,0,0,40,33,0
25,4,431861,3,2,6,0,4,1,0,0,40,33,0
33,4,609789,13,3,12,4,4,1,0,0,40,33,0
40,4,143046,15,4,2,1,4,0,0,0,45,33,0
17,4,41979,0,4,10,3,4,1,0,0,40,33,0
32,7,104509,3,0,13,1,4,0,0,0,25,33,0
47,4,298037,14,0,2,4,4,0,0,0,44,33,0
42,4,103932,14,0,2,4,4,0,0,0,40,33,0
42,4,201732,7,2,4,0,4,1,0,0,40,33,1
55,4,27227,7,2,13,0,4,1,0,1977,35,33,1
28,4,175262,7,2,11,0,2,1,0,0,40,19,0
51,6,120781,6,2,2,0,3,1,99999,0,70,11,1
17,4,111332,1,4,4,3,4,0,0,0,20,33,0
64,6,275034,7,2,4,0,4,1,0,0,35,33,0
51,4,44000,4,2,2,5,4,0,99999,0,50,33,1
53,7,118793,3,2,3,0,4,1,0,0,40,33,0
24,4,182342,3,4,11,1,4,1,0,0,40,33,0
53,4,87158,3,2,8,0,2,1,0,0,40,33,0
34,4,30497,15,2,9,0,4,1,15024,0,60,33,1
45,2,167159,15,2,3,0,4,1,0,0,50,33,1
19,4,458558,3,2,8,5,4,0,0,0,40,33,0
42,6,99185,7,2,9,0,4,1,0,0,40,33,1
19,4,244115,3,4,13,3,2,1,0,0,30,33,0
20,0,121313,0,4,0,3,4,1,0,0,40,33,0
17,4,266134,0,4,13,3,4,1,0,0,12,33,0
63,6,167501,7,2,2,5,4,0,20051,0,10,33,1
37,4,138192,3,2,8,0,4,1,0,0,45,33,0
39,4,140477,3,4,12,1,4,0,0,0,10,33,0
30,4,178952,3,4,11,3,4,1,0,0,40,33,0
52,2,186117,3,2,3,0,4,1,0,0,56,33,1
28,4,69621,13,4,4,1,4,0,0,0,60,33,0
22,4,214134,0,4,6,1,0,1,0,0,84,33,0
19,4,263338,3,4,11,3,4,1,0,0,20,33,0
32,4,42485,3,0,8,4,4,1,0,0,40,33,0
24,4,159580,15,4,13,3,2,0,0,0,75,33,0
35,4,33397,3,0,13,1,4,0,0,0,35,33,0
42,4,275677,14,2,1,0,4,1,0,0,50,33,0
17,4,32607,0,4,10,3,4,1,0,0,20,33,0
41,4,84610,15,2,9,0,4,1,0,1902,60,33,1
41,4,144144,3,4,11,4,2,0,0,0,30,33,0
47,7,118447,15,2,2,0,4,1,0,0,60,33,1
20,4,279538,1,2,11,2,4,1,2961,0,35,33,0
79,0,23275,0,2,0,0,4,1,0,0,20,33,0
24,4,189749,1,2,8,0,4,1,0,0,40,33,0
50,4,69345,14,2,6,0,4,1,3103,0,55,33,1
19,4,238144,7,0,1,1,4,0,0,0,20,33,0
35,6,133935,7,3,8,1,4,1,0,0,40,33,0
32,4,242323,7,4,1,3,4,0,0,0,40,33,0
31,2,83671,7,4,1,1,2,0,0,0,40,33,0
59,4,162136,7,0,12,1,4,1,0,0,56,33,0
25,4,110978,13,2,1,5,1,0,0,0,37,11,1
42,5,348886,15,2,9,0,4,1,0,0,45,33,1
40,4,77370,3,2,8,0,4,1,0,0,40,33,1
19,4,213644,3,4,12,1,4,1,0,0,40,33,0
48,4,33669,7,2,6,0,4,1,0,0,60,33,0
45,4,337825,3,2,8,0,4,1,0,0,45,33,0
48,4,131762,3,4,13,1,4,0,0,0,30,33,0
46,2,172822,3,2,6,0,4,1,0,0,40,33,0
34,6,108247,6,2,2,0,4,1,0,0,55,33,1
65,4,444725,6,3,8,1,4,1,0,0,48,10,1
49,4,199378,7,2,2,0,4,1,0,0,22,33,0
41,6,203451,7,0,2,1,4,0,0,0,15,33,0
46,2,146497,3,0,2,1,4,0,0,0,40,33,0
41,0,199018,7,0,0,1,4,1,0,1504,40,33,0
33,0,186824,7,4,0,3,4,1,0,0,40,33,0
46,4,83064,7,2,12,0,4,1,0,0,40,33,0
59,4,205949,3,5,8,4,0,0,0,0,40,33,0
18,4,128538,1,4,4,3,4,0,0,0,25,33,0
67,0,126514,7,6,0,1,4,0,0,0,4,33,0
73,0,131982,15,2,0,0,1,1,0,0,5,35,0
22,4,203182,7,5,4,4,4,0,0,0,43,33,0
27,4,309463,12,4,11,1,4,1,0,0,10,33,0
26,4,209440,3,4,2,4,2,0,0,0,55,33,0
24,0,152719,7,4,0,3,2,0,0,0,15,6,0
64,0,168340,3,2,0,0,4,1,0,0,40,0,1
40,4,202692,3,2,13,0,4,1,0,0,35,33,0
19,0,28967,7,4,0,1,4,1,0,0,40,33,0
50,4,196963,11,0,8,1,4,0,0,0,30,33,0
27,7,162312,7,4,13,1,1,1,0,0,50,29,0
18,0,65249,8,4,0,3,4,1,0,0,30,33,0
36,5,116133,3,2,6,0,4,1,0,0,57,33,0
39,4,130007,7,0,8,4,4,1,0,0,40,33,0
39,2,183620,7,4,3,1,2,0,0,0,40,33,1
36,6,367020,11,2,8,0,4,1,0,0,35,33,0
18,3,153663,7,4,0,3,4,1,0,0,4,33,0
44,4,185602,14,0,9,4,4,0,0,0,40,33,0
34,4,312055,15,4,9,1,4,1,0,0,40,33,1
59,4,515712,11,2,8,0,4,1,0,0,40,33,0
41,4,176452,3,2,5,0,4,1,0,0,40,22,0
28,4,306830,13,2,11,0,4,1,0,0,40,20,0
32,4,209808,7,2,4,0,4,1,0,1740,47,33,0
37,2,239161,7,5,3,3,3,1,0,0,52,33,0
30,4,185336,7,0,1,4,2,0,0,0,37,33,0
39,4,156780,3,3,13,2,1,0,0,0,40,0,0
28,4,54670,13,4,4,1,4,0,0,0,40,0,0
43,4,184018,13,2,2,0,4,1,0,0,50,33,0
39,4,33355,3,2,6,0,4,1,7298,0,48,33,1
36,0,200904,13,2,0,5,2,0,0,0,21,6,0
34,4,379798,15,2,4,0,4,1,0,0,60,33,1
32,4,294121,13,0,12,1,4,0,0,0,50,33,0
36,4,186808,15,2,8,3,4,1,0,0,40,33,1
40,4,200671,3,0,12,3,2,1,0,0,40,33,0
24,4,107801,3,4,1,3,4,0,0,0,40,33,0
27,4,210313,3,2,4,0,4,1,0,0,50,5,0
25,4,316688,3,4,12,1,2,1,0,0,40,33,0
33,4,200246,7,3,2,1,4,1,0,0,40,33,0
41,6,112362,3,2,10,0,4,1,0,0,38,33,0
28,4,181659,3,2,12,0,4,1,0,0,40,33,0
24,4,112706,14,4,5,3,4,1,0,0,40,33,0
56,5,32316,8,6,9,1,4,0,0,0,40,33,0
58,4,142326,15,0,2,1,4,0,0,0,50,33,0
22,4,125542,1,4,10,1,4,1,0,0,40,33,0
73,4,173047,15,2,2,0,4,1,0,0,15,33,0
29,4,126822,3,2,13,0,4,1,0,0,35,33,0
33,4,150324,14,2,5,0,4,1,0,0,40,33,0
32,4,178109,15,4,8,1,4,1,0,0,36,33,0
24,4,123226,15,4,2,1,4,1,0,0,40,33,0
24,4,209782,15,4,4,3,4,0,0,0,40,33,0
29,4,309463,12,2,8,0,4,1,0,0,40,33,0
37,4,125550,3,4,5,1,4,0,14084,0,35,33,1
39,4,259716,3,0,12,4,4,0,0,0,40,19,0
38,4,229009,3,2,13,0,4,1,0,0,45,33,0
29,7,356089,15,2,9,0,4,1,7688,0,40,33,1
23,4,124971,7,0,1,1,4,1,0,0,40,33,0
29,2,419722,13,4,1,1,4,1,3674,0,40,33,0
34,7,98101,15,2,9,0,4,1,7688,0,45,0,1
66,4,269665,3,6,9,1,4,0,0,0,25,33,0
56,4,197114,3,4,11,3,4,1,0,0,28,33,0
27,4,84977,3,2,8,0,4,1,0,0,40,33,0
54,6,71344,4,0,2,1,4,1,0,0,50,33,1
30,4,87418,15,2,9,0,4,1,0,0,45,33,1
29,2,115305,14,2,3,0,4,1,7688,0,40,33,1
25,4,306908,3,2,12,0,4,1,0,0,40,33,0
46,4,503923,3,2,12,0,2,1,4386,0,40,33,1
36,4,355468,0,5,4,1,4,1,0,0,40,33,0
51,4,161482,3,0,13,4,4,0,0,0,38,33,0
56,4,179127,0,2,8,0,4,1,0,0,35,15,0
56,4,32446,7,2,8,0,4,1,0,0,40,33,1
37,4,207066,7,4,9,1,4,1,0,0,40,33,0
25,4,69847,15,4,1,3,1,0,0,0,40,33,0
31,4,203463,4,4,9,1,4,0,99999,0,40,33,1
34,2,207383,4,6,2,1,4,0,0,0,40,33,0
44,0,268804,3,2,0,0,2,1,0,0,30,33,0
72,4,131699,7,6,1,1,4,0,0,0,6,33,0
41,1,214838,4,2,9,0,4,1,0,0,60,33,1
37,4,139684,3,0,12,1,4,1,0,0,45,33,0
49,4,31264,3,0,1,1,4,0,0,0,35,33,0
26,4,104257,3,4,13,1,4,0,0,0,50,33,0
49,4,166789,3,2,1,0,4,1,0,0,40,33,0
41,4,238384,3,0,5,4,4,0,0,0,40,33,0
23,4,160968,7,4,2,3,4,1,0,0,10,33,0
44,4,198282,15,2,9,0,4,1,15024,0,60,33,1
21,4,93977,3,4,8,1,4,1,0,0,40,33,0
26,4,316337,7,2,12,0,0,1,0,0,40,33,0
32,4,347112,15,4,9,1,4,0,0,0,45,33,0
40,2,36296,15,2,2,0,4,1,0,0,50,33,1
20,4,129024,7,4,13,3,4,0,0,0,25,33,0
67,4,118363,15,0,9,1,4,0,0,2206,5,33,0
41,6,29762,7,2,10,0,4,1,5013,0,70,33,0
47,6,166894,7,0,2,4,2,0,0,0,40,33,0
43,5,304906,15,2,4,0,4,1,0,0,45,33,1
65,4,182470,14,3,8,1,4,1,0,0,20,33,0
29,4,375313,7,4,8,1,1,1,0,0,45,24,0
44,4,130126,6,0,2,1,4,1,0,0,45,33,1
29,4,144259,15,2,11,0,2,1,4386,0,80,0,1
51,4,120173,14,2,8,0,4,1,3103,0,50,33,1
60,5,160079,4,6,1,1,4,0,0,0,25,33,0
71,4,228806,12,0,14,1,2,0,0,0,6,33,0
22,4,443336,7,4,13,1,4,0,0,0,25,33,0
75,0,34235,3,6,0,1,4,0,2964,0,14,33,0
21,0,436431,5,2,0,2,4,0,0,0,40,19,0
23,4,139012,14,4,6,3,1,1,0,0,40,29,0
21,4,169699,7,4,13,1,4,0,0,0,35,33,0
29,4,394927,0,2,6,0,4,1,0,0,45,33,1
19,4,201178,3,4,1,1,4,0,0,0,25,33,0
19,4,118535,8,4,4,3,4,0,0,0,18,33,0
58,6,93664,3,2,9,0,4,1,15024,0,60,33,1
28,4,336951,3,2,9,0,4,1,0,0,50,33,1
33,4,160261,14,2,5,0,1,1,0,0,10,33,0
26,4,150361,7,4,5,3,4,0,0,0,40,33,0
23,4,234108,13,4,12,4,4,1,0,0,40,33,0
37,5,27997,3,4,6,1,4,1,0,0,50,33,0
60,5,180512,12,2,8,0,4,1,0,0,45,33,1
71,1,101676,0,2,1,0,4,1,0,0,40,33,0
46,4,129007,3,2,6,0,4,1,0,0,41,33,1
39,4,49105,14,5,1,3,4,0,594,0,40,33,0
18,0,196061,7,4,0,3,4,1,0,0,33,33,0
40,4,30682,3,2,12,0,4,1,0,0,45,33,1
30,4,63910,3,2,4,3,1,0,0,0,40,33,0
34,4,221396,7,2,1,0,4,1,0,0,40,33,0
49,4,117849,3,2,8,0,4,1,0,0,40,33,1
35,4,144322,13,0,9,1,4,0,0,0,50,33,0
36,4,254493,7,2,4,0,4,1,0,0,44,33,0
33,2,175509,3,2,3,0,4,1,0,0,40,33,0
46,4,273629,4,2,9,0,4,1,0,0,40,33,1
26,4,220656,3,4,1,3,2,1,0,0,40,33,0
40,0,78255,3,0,0,1,4,1,0,0,25,33,0
47,7,142856,4,2,2,0,4,1,0,0,45,33,1
66,6,240294,7,2,6,0,2,1,0,0,60,33,0
51,2,142411,14,0,1,4,4,0,0,0,50,33,0
19,4,62419,3,2,8,0,4,1,0,0,35,33,0
22,0,224238,7,4,0,3,4,1,0,0,2,33,0
24,4,246207,15,4,12,3,2,0,0,0,40,33,0
47,4,175990,3,2,13,5,4,0,0,0,30,33,1
68,6,69249,3,2,10,0,4,1,0,0,10,33,1
41,4,196456,4,4,2,1,4,0,0,0,40,33,0
41,4,470486,9,3,11,4,4,1,0,1719,40,19,0
21,4,222490,7,4,11,3,4,0,0,0,40,33,0
18,4,170544,1,4,11,3,4,1,0,0,20,33,0
64,4,43738,2,6,2,1,4,1,0,0,80,33,1
58,4,186106,11,0,13,1,4,0,0,0,40,33,0
20,4,195770,7,4,1,3,4,1,0,0,26,33,0
43,4,301007,4,2,9,0,4,1,7298,0,50,33,1
73,1,142426,3,0,1,1,4,0,25124,0,20,33,1
48,4,39986,3,4,11,1,4,1,0,0,40,33,0
20,4,39477,7,4,4,3,4,0,0,0,20,33,0
63,4,298113,7,0,13,1,4,1,0,0,40,33,0
35,6,335704,7,2,9,0,4,1,0,0,40,33,0
41,4,336643,7,0,9,1,4,0,0,0,80,33,0
17,4,186067,0,4,5,3,4,1,0,0,10,33,0
38,4,33397,3,0,4,4,4,0,0,0,40,33,0
43,4,174325,11,2,6,0,2,1,0,0,40,33,0
71,4,211707,7,2,4,0,4,1,0,0,4,33,0
47,4,218435,3,3,4,4,4,0,0,0,20,37,0
23,4,212619,3,2,12,0,4,1,0,0,50,33,0
17,4,79682,0,4,14,2,4,1,0,0,30,33,0
23,4,43535,3,0,13,1,4,0,0,0,24,33,0
21,4,210053,7,4,1,3,4,0,0,0,40,33,0
24,4,228395,15,4,4,3,2,0,0,0,40,33,0
41,4,107584,3,2,12,0,4,1,0,0,40,33,0
41,4,163322,1,0,9,4,4,0,0,0,36,33,0
64,4,183513,3,4,1,1,4,0,0,0,25,33,0
32,4,36467,13,2,1,0,4,1,0,0,45,33,1
61,4,147393,6,2,9,0,4,1,0,0,20,33,0
56,4,183169,3,4,1,3,4,0,0,0,35,33,0
50,2,20795,7,2,3,0,4,1,0,0,40,33,1
25,6,114483,3,2,10,0,4,1,0,0,65,33,0
33,4,168387,1,2,13,0,4,1,0,0,40,33,0
34,4,133122,15,2,9,0,4,1,0,0,40,33,0
66,0,149422,11,4,0,1,4,1,0,0,4,33,0
30,4,232475,3,5,8,1,4,1,0,0,40,33,0
19,4,186682,3,4,13,4,2,1,0,0,40,33,0
41,4,306405,7,2,5,5,4,0,0,0,40,33,0
27,4,151382,3,4,9,3,4,1,0,0,40,33,0
62,4,159822,3,2,9,0,4,1,0,0,50,33,0
33,4,339482,3,2,8,0,4,1,0,0,40,33,0
19,4,158118,3,4,13,1,4,0,0,1719,40,33,0
24,4,145964,15,4,9,1,4,1,0,0,40,33,0
26,4,132572,15,4,1,3,2,0,0,0,40,33,0
41,2,67671,4,2,2,0,4,1,0,0,50,33,0
35,4,308945,3,0,5,4,4,0,0,0,75,33,0
27,4,103524,3,5,11,4,4,1,0,0,40,33,0
24,4,190709,7,2,6,0,4,1,0,0,65,33,0
38,4,461337,3,4,4,1,4,0,0,0,33,33,0
34,5,513977,3,0,8,1,2,1,0,0,50,33,0
18,4,157131,8,4,4,3,4,0,0,0,8,33,0
54,7,44172,3,5,9,4,4,0,0,0,38,33,0
24,4,130442,14,4,4,1,4,1,0,0,30,33,0
53,4,104461,15,4,13,1,4,1,8614,0,50,15,1
54,4,329266,3,2,8,0,4,1,0,0,44,33,1
39,4,324420,9,2,8,0,4,1,0,0,45,19,0
50,2,117496,15,2,2,5,4,0,0,0,24,33,0
45,4,267967,15,2,2,0,4,1,0,0,45,33,1
43,4,167599,1,2,11,5,4,0,0,0,25,33,0
24,7,191269,15,4,1,1,4,0,0,0,65,33,0
18,4,186946,7,4,12,3,4,0,0,0,23,33,0
59,2,236426,13,0,2,1,4,0,0,0,50,33,0
38,4,107302,7,2,8,0,4,1,3103,0,40,33,1
41,4,153031,7,2,4,0,4,1,0,0,65,33,1
45,4,71145,15,0,9,4,4,1,0,0,45,33,1
31,4,264864,3,2,12,5,0,0,0,0,40,33,0
23,4,332657,7,4,13,1,4,0,0,0,25,33,0
37,5,98360,8,2,8,0,4,1,0,0,40,33,0
25,4,139863,9,4,10,1,4,1,0,0,40,19,0
30,4,325509,3,2,8,0,4,1,0,0,35,33,0
26,4,104045,3,4,13,3,4,0,0,0,30,33,0
64,4,312242,7,6,9,1,4,0,0,0,3,33,0
58,4,150560,15,0,1,1,4,0,14084,0,40,33,1
54,6,99902,7,2,8,0,4,1,0,0,40,14,1
20,4,166371,3,4,8,2,4,1,0,0,40,33,0
38,4,117528,15,4,13,2,4,0,0,0,45,33,0
29,4,100219,13,4,12,4,4,1,0,0,45,33,0
21,4,253190,7,4,11,1,4,1,0,0,48,33,0
58,6,237546,7,2,9,0,4,1,0,0,70,33,1
20,4,283969,7,4,11,2,4,1,0,0,15,33,0
51,4,216475,15,4,4,1,4,0,0,1564,43,33,1
36,4,365739,3,4,12,1,4,1,0,0,40,33,0
33,4,102130,14,0,4,1,4,1,0,0,50,33,0
39,6,218490,6,2,2,0,4,1,0,2415,50,0,1
19,4,179422,3,4,13,1,4,0,0,0,35,33,0
61,4,179743,3,2,8,0,4,1,0,2051,20,33,0
44,4,106682,3,2,4,0,4,1,0,0,60,33,0
68,6,450580,3,2,10,0,4,1,0,0,20,33,0
46,4,57914,3,2,3,0,4,1,0,0,40,33,0
21,4,206681,7,4,4,3,4,0,0,0,15,33,0
68,4,156000,0,6,13,4,2,0,0,0,20,33,0
17,4,151141,8,4,4,3,4,1,0,0,20,33,0
36,1,125933,15,4,2,3,4,1,0,2258,40,33,0
50,4,146325,3,2,8,0,4,1,0,0,44,33,1
20,4,44064,7,4,2,3,4,1,0,0,25,33,0
40,4,247245,12,0,13,1,4,0,0,0,40,33,0
37,4,284582,4,2,9,5,4,0,0,0,40,33,0
54,4,159755,7,2,3,0,4,1,0,0,40,33,1
30,7,144064,3,2,3,0,4,1,0,0,40,33,1
38,4,241962,3,0,12,1,4,1,0,0,40,33,0
36,4,145933,3,4,9,1,4,1,0,2258,70,33,0
39,4,128483,7,2,13,5,4,0,0,0,60,33,0
44,4,219441,0,4,4,4,3,0,0,0,35,38,0
43,4,284403,13,2,4,0,2,1,0,0,60,33,0
27,4,445480,8,4,8,3,4,1,0,0,40,33,0
50,4,302372,15,2,2,0,4,1,0,0,40,33,0
38,4,170174,0,2,12,0,4,1,0,0,40,33,1
35,4,474136,3,4,8,1,4,1,0,1408,40,33,0
32,4,200246,7,2,8,0,4,1,0,0,40,33,1
49,4,204057,13,0,9,1,4,0,0,0,40,33,0
53,2,103995,15,0,2,1,4,0,0,1876,54,33,0
41,7,33126,15,2,10,0,4,1,0,0,40,33,1
57,2,44273,3,6,6,1,4,0,0,0,40,33,0
20,4,83141,3,4,12,3,4,1,4416,0,53,33,0
31,4,118551,12,0,1,1,4,0,0,0,40,33,0
18,6,58700,12,4,10,2,3,0,0,0,40,19,0
41,4,319271,7,2,4,0,4,1,0,0,50,33,0
28,6,190391,15,4,4,1,4,1,0,0,50,33,0
52,7,254285,2,2,2,0,4,1,0,1887,70,3,1
21,4,176486,3,3,9,2,4,0,0,0,60,33,0
18,4,193166,12,4,4,3,4,0,0,0,42,33,0
24,4,177125,7,2,6,0,4,1,0,0,60,33,0
20,2,235894,7,4,10,3,4,1,0,0,40,33,0
29,4,29865,3,0,4,1,0,0,0,0,50,33,0
37,4,282951,3,2,2,0,4,1,0,0,40,33,0
49,2,405309,14,2,8,0,4,1,0,0,40,33,1
33,4,67072,3,2,4,0,4,1,0,0,50,33,1
45,4,84298,14,2,9,0,4,1,0,1977,50,33,1
56,4,298695,11,2,12,0,4,1,0,0,48,33,0
41,4,207335,15,0,2,1,4,1,0,0,45,33,1
20,6,54152,7,4,8,1,4,0,0,0,35,33,0
28,4,315287,3,4,1,2,2,1,0,0,40,0,0
64,4,301352,3,2,8,0,4,1,0,0,40,33,0
28,4,364946,4,4,2,1,4,1,0,0,50,33,0
43,4,358199,7,2,4,0,4,1,3103,0,40,33,1
36,4,142711,3,5,12,1,4,1,0,0,40,27,0
36,4,274106,3,2,12,0,4,1,0,0,45,19,0
47,5,193960,7,2,4,0,4,1,7298,0,45,33,1
48,7,355320,14,2,9,0,4,1,0,0,15,3,1
41,1,187462,14,0,1,3,2,0,0,0,40,33,0
34,6,140011,6,2,2,0,4,1,0,0,55,33,1
34,4,195890,7,2,2,5,4,0,0,0,40,33,1
22,0,27937,7,4,0,3,4,1,0,0,36,33,0
22,4,260594,1,4,4,4,4,0,0,0,25,33,0
32,6,182177,3,2,8,0,4,1,0,0,40,33,0
19,4,181572,7,4,1,3,4,1,0,0,40,33,0
28,4,176972,15,2,8,0,4,1,0,0,45,33,1
44,6,445382,7,0,13,4,4,1,0,0,40,33,0
27,4,321577,3,4,1,3,2,0,0,0,40,33,0
23,4,183772,13,4,1,2,4,0,0,0,70,33,0
46,4,117849,4,2,9,0,4,1,0,0,55,33,1
52,4,400004,14,2,9,0,4,1,0,0,40,33,1
27,4,293828,3,4,13,1,2,0,0,0,40,16,0
23,4,220993,7,4,13,3,4,1,0,0,35,33,0
18,4,60981,0,4,13,3,4,0,0,0,30,33,0
40,4,224658,15,2,4,0,4,1,0,0,45,33,1
18,4,279593,1,4,2,3,4,0,0,0,2,33,0
46,4,295566,2,0,2,4,4,0,25236,0,65,33,1
17,4,191260,1,4,13,3,4,1,594,0,10,33,0
29,6,227890,15,4,2,1,2,1,0,0,40,33,0
